article,DOI/ISBN,Authors (Year),Reviewer,Application environment,Logistic focus,Modeling objective,Uncertainty treatment,Real-time/dynamic feature,Technical artifact delivered,Validation type,Events/disruptions tested,Performance metrics reported,Limitations/gaps,Emerging requirements
The Cost and Time Objectives Minimization in Cross-Dock Truck Scheduling of Perishable Goods Considering Uncertainty,10.5829/ije.2026.39.02b.16,Khodashenas et al. (2026),Anna,cross-docking center,"cross-docking operations, truck scheduling",Minimize the weighted sum of total delays and cross-docking costs.,"robust, stochastic",static,"exact algorithm, hybrid optimization framework, mathematical model, metaheuristic",computational experiment,"demand fluctuation, service-time variability","tardiness, total cost",The study only addresses demand uncertainty and does not jointly consider other uncertain operational parameters and risk factors inherent to the operation.,"The study indicates the need to include additional operational uncertainties, validate with real case studies, and integrate demand forecasting with artificial neural networks."
An Efficient Real-Time Railway Container Yard Management Method Based on Partial Decoupling,10.1109/TASE.2025.3559241,Luan et al. (2025),Marcus,intermodal rail terminal,"intermodal terminal transfer, yard operations, yard resource scheduling","Minimize the total dwell time of container lots in the yard, including transport waiting and physical operation time.",robust,periodic update / rolling horizon,"Machine learning model, exact algorithm, hybrid optimization framework, mathematical model",computational experiment,"arrival variability, congestion",not clearly reported,"Information barriers between port and railway, RL exploration difficulties in high-complexity scenarios, and single-period crane assignment can cause local safety-constraint violations.",The study indicates the need for earlier sea-rail data sharing and transfer learning to scale RL from smaller yards to more complex infrastructures.
Multiple Cross-Docks Scheduling with Multiple Doors Using Fuzzy Approach and Metaheuristic Algorithms,10.48295/ET.2020.79.3,Movassaghi and Darestani (2021),Marcus,cross-docking center,"cross-docking operations, truck routing, truck scheduling",Minimize cumulative vehicle routing cost and cumulative distribution time through a coordinated multi-objective formulation.,fuzzy,static,mathematical model,synthetic data,none tested,total cost,The NP-hard formulation loses computational efficiency and becomes impractical for larger and more complex instances.,The study indicates the need for more flexible modeling assumptions and metaheuristic methods for larger instances.
A Predictive-Reactive Cross-Dock Rescheduling System under Truck Arrival Uncertainty,10.1007/s11590-024-02137-6,Fonseca et al. (2025),Anna,cross-docking center,"cross-docking operations, truck scheduling",Minimize deviations from promised delivery dates by evaluating makespan and weighted completion performance through total tardiness measures.,reactive,periodic update / rolling horizon,heuristic,computational experiment,"arrival variability, schedule deviation","makespan, tardiness",The model performs worse than the perfect information approach in weighted-customer scenarios where advance knowledge of delays would produce better schedules.,The study calls for applying the stability approach in practical operating environments with different uncertainty levels to narrow the gap between research and daily industrial practice.
Flexible Storage Yard Management in Container Terminals under Uncertainty,10.1016/j.cie.2023.109753,Wang et al. (2023),Marcus,container terminal,"yard operations, yard resource scheduling",Minimize total port operating cost under flexible yard storage and yard-crane allocation decisions.,"scenario-based, stochastic",static,"heuristic, mathematical model, metaheuristic",computational experiment,"demand fluctuation, resource unavailability",total cost,"The model ignores yard-crane transfer costs, excludes berth allocation, and does not consider carbon emissions.","The study calls for integrating yard-crane transfer costs, berth allocation, and green-port objectives into the model."
Optimization for a Multi-Constraint Truck Appointment System Considering Morning and Evening Peak Congestion,10.3390/su13031181,Xu et al. (2021),Luiz,container terminal,"queue / congestion management, truck scheduling","Minimize the joint total operating cost for carriers and terminals, including rescheduling cost, gate-queue cost, and time lost in peak urban congestion.",stochastic,static,"mathematical model, metaheuristic",computational experiment,none tested,"queue length, total cost, waiting time","The model is single-objective and does not incorporate severe operational uncertainties or real stochastic events such as extreme weather, traffic accidents, or abnormal truck arrivals.","The study calls for multi-objective TAS formulations, inclusion of real uncertainties, and more sophisticated heuristics to reduce computational time."
A Novel Truck Appointment System for Container Terminals,10.3390/su17135740,Bouyahia et al. (2025),Marcus,container terminal,"gate operations, queue / congestion management, truck scheduling",Reduce congestion and environmental impact while limiting truck waiting time in the receiving and delivery subsystem of a container terminal.,stochastic,static,"mathematical model, metaheuristic",computational experiment,none tested,"emissions, queue length, waiting time","The study is restricted to gate operations, uses limited time windows, has computational cost issues, excludes operational uncertainties, and simplifies emissions and dissatisfaction calculations.","The study calls for real-time IoT visibility, global terminal integration between yard and gate, and better uncertainty and exception management."
Integrating Vehicle Scheduling and Open Routing Decisions in a Cross-Docking Center with Multiple Docks,10.1016/j.cie.2021.107869,Cota et al. (2022),Marcus,not specified,"truck routing, truck scheduling",Minimize the weighted total tardiness in customer service.,dynamic/online,real-time online,"exact algorithm, heuristic, mathematical model, metaheuristic, prototype/software tool",computational experiment,"arrival variability, schedule deviation, service-time variability",not clearly reported,"The study is limited to a single day of operation, ignores inventory management and internal movement time, and forbids partial deliveries.","The study indicates the need for full real-time synchronization, outsourced fleet management, transient inventory management, real financial penalties, and multi-period planning."
Stability Approach to {{CDC}} Truck Scheduling Problem under Uncertainty,10.1007/s11590-024-02137-6,Fonseca et al. (2025),Anna,cross-docking center,"cross-docking operations, truck scheduling",Minimize deviations from promised delivery dates by evaluating makespan and weighted completion performance through total tardiness measures.,reactive,periodic update / rolling horizon,heuristic,computational experiment,"arrival variability, schedule deviation","makespan, tardiness",The model performs worse than the perfect information approach in weighted-customer scenarios where advance knowledge of delays would produce better schedules.,The study calls for applying the stability approach in practical operating environments with different uncertainty levels to narrow the gap between research and daily industrial practice.
Truck Service Optimisation in Port Areas by Comparing Genetic Algorithm and Cuckoo Search Algorithm,10.2478/ttj-2025-0030,Kappatos et al. (2025),Anna,not specified,"truck scheduling, yard resource scheduling",Minimize average truck waiting time in queue and optimize the number of servers while balancing service efficiency and resource use.,stochastic,static,"mathematical model, metaheuristic, simulation model","computational experiment, simulation",service-time variability,"resource utilization, waiting time",The study reports an unresolved trade-off between lower waiting time and higher server utilization across the compared algorithms.,The study indicates a need for smart port management systems that can switch algorithms dynamically according to real-time operational goals.
Cross-Docks Scheduling with Multiple Doors Using Fuzzy Approach,10.48295/ET.2020.79.3,Movassaghi and Darestani (2021),Marcus,cross-docking center,"cross-docking operations, truck routing, truck scheduling",Minimize cumulative vehicle routing cost and cumulative distribution time through a coordinated multi-objective formulation.,fuzzy,static,mathematical model,"computational experiment, synthetic data",none tested,total cost,The NP-hard formulation loses computational efficiency and becomes impractical for larger and more complex instances.,The study indicates the need for more flexible modeling assumptions and metaheuristic methods for larger instances.
"Simulation Model to Determine Ratios between Quay, Yard and Intra-Terminal Transfer Equipment in an Integrated Container Handling System",10.24006/JILT.2021.19.1.001,Sha et al. (2021),Anna,container terminal,"truck-crane joint scheduling, yard resource scheduling","Determine the ideal combination and proportion of QC, ITT, and RTG equipment by analyzing utilization rates, bottlenecks, and throughput levels.","simulation-based uncertainty, stochastic",static,"prototype/software tool, simulation model","computational experiment, simulation","arrival variability, demand fluctuation","resource utilization, throughput",The model assumes that the container reshuffling rate in the yard is zero.,The study indicates the need to transfer the simulation model to support strategic decisions in terminals with different layouts and equipment mixes.
A Multi-Agent-Based Real-Time Truck Scheduling Model for Cross-Docking Problems with Single Inbound and Outbound Doors,10.1016/j.sca.2023.100028,Torbali e Alpan (2023),Yasmin,cross-docking center,"cross-docking operations, truck scheduling","Minimize average inventory level, pallet delay time and delay count, and truck occupancy rate.","dynamic/online, reactive",real-time online,simulation model,"computational experiment, simulation",demand fluctuation,not clearly reported,"The study assumes a single inbound and outbound door, infinite temporary storage, no severe operational failures, and rigid decision rules instead of adaptive artificial intelligence.","The study calls for decision logics for multiple doors, management of higher computational load, physical limits on temporary storage, robustness tests under severe disruptions, and adaptive artificial intelligence."
Optimizing Expressway Battery Electric Vehicle Charging and Mobile Storage Energy Truck Scheduling: A Two-Stage Approach to Improve Photovoltaic Generation Utilization,10.1016/j.energy.2025.135145,Wang et al. (2025),Rayssa,not specified,truck dispatching,Optimize the dispatch of mobile energy storage trucks to supply power for battery electric vehicle charging.,none,static,"exact algorithm, mathematical model",computational experiment,demand fluctuation,not clearly reported,"The model assumes uniform BEV charging behavior, ignores stochastic traffic events, omits maintenance and deployment costs, and is limited to solar energy.","The study calls for probabilistic demand models, heterogeneous driver-preference simulation, broader MEST life-cycle cost analysis, integration of other renewable sources, and tests under different regulatory and traffic settings."
Truck Scheduling Optimization at a Cold Chain Cross-Docking Terminal Considering Uncertainties and the Door-Mixed Service Mode,10.1016/j.eswa.2025.129849,Zheng et al. (2026),Anna,cross-docking center,"cross-docking operations, truck scheduling","Minimize total operating cost including dock use, inventory holding, service time-window deviations, and stockout penalties.","scenario-based, stochastic",static,"hybrid optimization framework, mathematical model, metaheuristic",,service-time variability,total cost,"The model is not real-time, lacks weighted tardiness penalties for customer priorities, and uses simplified uncertainty modeling.","The study calls for dynamic resource allocation, theoretical performance bounds, weighted tardiness penalties, and advanced AI/ML for real-time scheduling."
A Constrained Fuzzy Knowledge-Based System for the Management of Container Yard Operations,10.1007/s40815-018-0448-9,Abbas et al. (2018),Marcus,container terminal,"yard operations, yard resource scheduling","Minimize re-handlings, retrieval time, re-handling time, and truck waiting time while improving yard utilization in container stacking and retrieval under unknown departure times.","fuzzy, simulation-based uncertainty",reactive event-driven,"heuristic, hybrid optimization framework, simulation model","computational experiment, simulation",arrival variability,"resource utilization, waiting time",The current rule base is not yet automatically optimized; the authors state that a second stage should integrate a genetic algorithm to select optimal fired fuzzy rules and improve acceptability levels for storage decisions.,"The study indicates the need for GA-based rule optimization and continued use of adaptive duration-of-stay activation, since the ON/OFF strategy produced more robust results and reduced operational time and re-handlings."
Truck Loading Schedule Optimization Using Genetic Algorithm for Yard Management,10.1007/978-3-319-15702-3_52,Cekała et al. (2015),Marcus,generic logistic system,"truck scheduling, yard operations, yard resource scheduling","Minimize overall truck waiting time by automatically updating loading-bay appointments when the daily schedule becomes outdated because of delayed arrivals, early arrivals, and loading-process disruptions.",reactive,periodic update / rolling horizon,"metaheuristic, prototype/software tool","computational experiment, real data, simulation","arrival variability, schedule deviation, service-time variability","computational time, waiting time","The evidence is restricted to one timber-products company and a short two-week simulation horizon, and the reported improvement over manual dispatcher rescheduling was not statistically significant in the t-test.","The study indicates the need for longer real-world deployment inside the yard-management information system and broader benchmarking against other metaheuristics and local-search approaches such as ant colony, artificial bee colony, firefly, simulated annealing, and tabu search."
A Truck Scheduling Problem at a Cross-Docking Facility with Mixed Service Mode Dock Doors,10.1108/EC-08-2018-0355,Vahdani and Shahramfard (2019),Marcus,cross-docking center,"cross-docking operations, inbound-outbound synchronization, queue / congestion management, truck scheduling","Minimize total operating cost, including merchandise holding cost, inbound and outbound truck tardiness, and truck waiting cost in queues caused by carrier interference.",stochastic,static,"hybrid optimization framework, mathematical model, metaheuristic",computational experiment,service-time variability,"computational time, total cost, waiting time","The model does not incorporate uncertainty in inbound and outbound truck arrival times or in the quantity loaded on inbound trucks, assumes unlimited temporary storage, and does not explicitly constrain the capacity in front of each door type or executive servers.","The study indicates the need to incorporate truck-arrival and load uncertainty, relax the unlimited temporary-storage assumption, and model door-front and server-capacity constraints to obtain a more realistic cross-docking planning scheme."
Dynamic Appointment Rescheduling of Trucks under Uncertainty of Arrival Time,10.3390/jmse10050695,Xu et al. (2022),Marcus,container terminal,"gate operations, queue / congestion management, reactive rescheduling, truck scheduling","Minimize the comprehensive operating costs of truck companies and port companies, explicitly including truck re-scheduling costs, gate waiting costs, and idle-emission costs.","reactive, stochastic",periodic update / rolling horizon,"mathematical model, metaheuristic, simulation model","computational experiment, simulation","arrival variability, schedule deviation","computational time, queue length, total cost","The study uses a fixed time-window distribution rule in which a truck that is late in the last appointment window cannot make a new reservation, although in real operations trucks may still enter after the nominal window. It also assumes that a successfully booked truck will eventually arrive and does not model post-booking no-shows.","Future work should allow more realistic handling of trucks arriving after the last window and explicitly incorporate the probability of no-show after reservation, with better strategies to minimize reservation-plan adjustments."
Adaptive Real-Time Planning of Trailer Assignments in High-Throughput Cross-Docking Terminals,10.3390/a18110679,Banyai and Trojahn (2025),Marcus,cross-docking center,"cross-docking operations, inbound-outbound synchronization, reactive rescheduling, truck scheduling","Minimize inbound and outbound trailer waiting times and tardiness through adaptive trailer-to-dock assignment, while improving synchronized flows, dock utilization, and overall makespan.","dynamic/online, reactive",periodic update / rolling horizon,"decision support system, exact algorithm, hybrid optimization framework, mathematical model",computational experiment,"arrival variability, resource unavailability","computational time, makespan, resource utilization, tardiness, waiting time","The framework depends on accurate real-time data streams, and data latency, missing values, or inconsistent updates may degrade solution quality. In addition, the MILP remains tractable only for the tested mid-size scenario, so larger terminals may require stronger solver strategies, heuristics, or parallel computing. The transportation phase is also externalized, with routing effects entering only through ETA updates rather than integrated optimization.","The study indicates the need for more scalable solution methods for larger hubs, tighter integration of live ETA/routing information, and robust deployment over real IoT-driven terminal data streams for continuous adaptive re-optimization."
Multi-Door Cross-Dock Scheduling under Flexible Doors Mode and Material Handling Resource Restrictions,10.1016/j.cor.2025.107183,Eti et al. (2025),Marcus,cross-docking center,"cross-docking operations, inbound-outbound synchronization, truck scheduling","Minimize total departure tardiness, modeled as total delay penalties of outbound trucks, while jointly deciding truck-to-door schedules and, in the DFA variant, forklift allocation.",none,static,"exact algorithm, hybrid optimization framework, mathematical model, metaheuristic",computational experiment,resource unavailability,"computational time, tardiness","The DFA setting requires a minimum number of forklifts to obtain near-optimal solutions in reasonable time, and the study leaves insufficiently explored more restrictive settings with simultaneous shortage of doors and forklifts, as well as mixed-door performance under unforeseen inbound disruptions.","The paper points to stronger solution methods for the DFA model, deeper analysis of cross-docks with both fewer doors and fewer forklifts, and evaluation of mixed-door operation under unexpected truck-arrival disruptions."
Integrating Arrival Time Estimation in Truck Scheduling: An Explorative Study in Grocery Retailing,10.1080/21693277.2024.2425678,Modica et al. (2024),Marcus,generic logistic system,"queue / congestion management, reactive rescheduling, truck scheduling, yard resource scheduling","Minimize the expected sum of truck waiting times throughout the working day by periodically reassigning incoming trucks to unloading resources using up-to-date ETA, processing times, and current warehouse-resource status.","dynamic/online, reactive",periodic update / rolling horizon,"decision support system, heuristic, mathematical model","computational experiment, real data","arrival variability, schedule deviation","resource utilization, waiting time","The model assumes fixed unloading resources during the day, which restricts adherence to alternative warehouse-door environments and operational characteristics. The empirical comparison is only against FCFS, and the study does not include an economic evaluation of implementation costs and overall benefits.","Future work should relax the fixed-resource assumption, compare the approach with scheduling rules beyond FCFS, study different rescheduling frequencies and alternative strategies such as event-driven rescheduling, and perform a fuller economic evaluation for both carrier and receiving facility."
Inbound Truck Scheduling for Workload Balancing in Cross-Docking Terminals,10.3390/math13152533,Noh et al. (2025),Marcus,cross-docking center,"cross-docking operations, queue / congestion management, reactive rescheduling, truck scheduling",Minimize workload imbalance in temporary inventory storage across outbound chutes and total waiting time of inbound trucks through dynamic inbound truck scheduling.,"dynamic/online, reactive, simulation-based uncertainty, stochastic",reactive event-driven,"hybrid optimization framework, mathematical model, simulation model","computational experiment, real data, simulation",arrival variability,waiting time,"The model assumes homogeneous cargo, ignores internal travel time from the arrival point to the dock, and uses a very large temporary chute-storage capacity, which suppresses terminal shutdown effects caused by severe congestion; the paper also notes that incomplete information and real uncertainty may reduce practical solution quality.","The study points to integrating outbound-truck information with inbound scheduling, handling heterogeneous cargo and uncertain arrivals/service times, incorporating bottleneck-induced shutdowns under limited temporary storage, and validating the approach in large-scale multi-terminal real operations."
Modelling Cross-Docking in a Three-Level Supply Chain with Stochastic Service and Queuing System: {{MOWFA}} Algorithm,10.3390/a15080265,Rostami et al. (2022),Marcus,cross-docking center,"cross-docking operations, inbound-outbound synchronization, queue / congestion management, truck scheduling","Minimize total operational cost and total transfer/waiting time across the three-level supply chain, including location-fixed costs, transportation costs, cross-dock costs, transfer time, and product waiting time in cross-docks.",stochastic,real-time online,"hybrid optimization framework, mathematical model, metaheuristic","computational experiment, synthetic data","arrival variability, service-time variability","computational time, total cost, waiting time","The paper explicitly notes that the problem is NP-hard and that solution time increases sharply with instance size. In addition, the operational model neglects storage costs because items are assumed to be sent as soon as they are packaged, and the empirical validation is restricted to randomly generated instances rather than a reported case study.","The study indicates the need for more efficient solution methods for larger NP-hard instances and for extensions that bring the model closer to real-world cross-docking conditions, since the authors frame current research gaps as a lack of sufficiently realistic models."
